'dept','min_R0','mean_R0','max_R0','stdev'
2,1.4047,1.7085,2.0796,0.18454
3,1.5659,1.9517,2.4051,0.23595
4,1.2932,1.5448,1.8627,0.15422
5,0.91849,1.0943,1.2954,0.093632
6,1.1798,1.3911,1.6659,0.12754
7,1.2463,1.4848,1.7863,0.14309
8,1.6375,2.0615,2.5537,0.25825
9,1.5842,1.9851,2.4403,0.24235
11,1.4674,1.7987,2.193,0.20215
13,1.2609,1.4972,1.8042,0.14484
14,1.0465,1.2253,1.4549,0.10464
17,1.4811,1.8249,2.2245,0.2065
18,1.569,1.9581,2.399,0.23546
19,1.1356,1.3387,1.5994,0.12021
20,2.0311,2.6673,3.3486,0.38797
22,1.3393,1.6169,1.953,0.16762
23,1.225,1.4497,1.737,0.13657
25,1.391,1.6913,2.0535,0.1821
26,1.0431,1.2216,1.4555,0.10634
27,1.7967,2.3132,2.8699,0.30994
28,1.0723,1.2572,1.495,0.10968
29,1.3673,1.6533,2,0.17374
30,2.2148,2.9677,3.7482,0.45547
